case,inlet_h2_mol_percent,outlet,iteration,h2_mass_percent,iterations_1301_1500_min_mass_percent,iterations_1301_1500_max_mass_percent
case_1,4,1,1500,0.004540272493613884,0.002558157939347439,0.013826170470565561
case_1,4,2,1500,0.002451453838148154,0.002308724651811644,0.005780148057965562
case_1,4,3,1500,0.003036029011127539,0.00168960486917058,0.0054931802878854805
case_2,10,1,1500,0.009339921234641224,0.005886518192710355,0.01457417529309168
case_2,10,2,1500,0.010905998351518061,0.00578523613512516,0.01322529860772192
case_2,10,3,1500,0.008393284952035174,0.006631247379118577,0.014533204375766221
