metric,label,unit,cpu_mean,gpu_mean,absolute_difference_gpu_minus_cpu,gpu_difference_from_cpu_percent,symmetric_percent_difference,cpu_stationary,gpu_stationary
volume_flow_lph,Volume flow rate,L/h,899.973731672396,899.9557549257681,-0.0179767466278235,-0.0019974745923325,0.0019974945420555,True,True
static_pressure_rise_pa,Static pressure rise,Pa,110481.20277279508,110463.2595854242,-17.943187370867236,-0.0162409413733189,0.0162422603213071,True,True
total_pressure_rise_pa,Total pressure rise,Pa,114243.51367848726,115068.01286237732,824.4991838900605,0.7217032786740335,0.7191083643526573,True,True
head_m,Pump head,m,10.846923940923572,10.925206546640498,0.0782826057169252,0.721703278674044,0.7191083643526678,True,True
torque_nm,Impeller torque magnitude,N m,0.0571205652675454,0.0566233834686225,-0.0004971817989229,-0.8704077009640887,0.8742123065837291,True,True
hydraulic_power_w,Hydraulic power,W,28.56004545493741,28.76558812798037,0.205542673042963,0.71968608511941,0.7171056304006095,True,True
shaft_power_w,Shaft power,W,41.87156124979732,41.50710795616517,-0.3644532936321454,-0.8704077009641229,0.8742123065837635,True,True
hydraulic_efficiency_percent,Hydraulic efficiency,%,68.20876183635409,69.30278995584507,1.0940281194909858,1.603940740217172,1.591179948495132,True,True
