shear_rate_s-1,newtonian_Pa_s,carreau_Pa_s,power_law_Pa_s,casson_Pa_s
0.1000000000,0.003450000000,0.05426911427,0.01377016560,0.1478120199
0.1059253725,0.003450000000,0.05407343823,0.01363449833,0.1407262426
0.1122018454,0.003450000000,0.05385752443,0.01350016769,0.1340082020
0.1188502227,0.003450000000,0.05361970595,0.01336716051,0.1276381396
0.1258925412,0.003450000000,0.05335827165,0.01323546375,0.1215973792
0.1333521432,0.003450000000,0.05307148632,0.01310506451,0.1158682671
0.1412537545,0.003450000000,0.05275761547,0.01297594999,0.1104341149
0.1496235656,0.003450000000,0.05241495478,0.01284810754,0.1052791472
0.1584893192,0.003450000000,0.05204186417,0.01272152463,0.1003884501
0.1678804018,0.003450000000,0.05163680605,0.01259618884,0.09574792403
0.1778279410,0.003450000000,0.05119838710,0.01247208790,0.09134423896
0.1883649089,0.003450000000,0.05072540225,0.01234920963,0.08716479151
0.1995262315,0.003450000000,0.05021687977,0.01222754199,0.08319766509
0.2113489040,0.003450000000,0.04967212530,0.01210707306,0.07943159188
0.2238721139,0.003450000000,0.04909076294,0.01198779101,0.07585591711
0.2371373706,0.003450000000,0.04847277122,0.01186968416,0.07246056523
0.2511886432,0.003450000000,0.04781851148,0.01175274093,0.06923600798
0.2660725060,0.003450000000,0.04712874692,0.01163694986,0.06617323426
0.2818382931,0.003450000000,0.04640465032,0.01152229959,0.06326372162
0.2985382619,0.003450000000,0.04564779962,0.01140877888,0.06049940940
0.3162277660,0.003450000000,0.04486016059,0.01129637661,0.05787267329
0.3349654392,0.003450000000,0.04404405721,0.01118508176,0.05537630134
0.3548133892,0.003450000000,0.04320213064,0.01107488341,0.05300347132
0.3758374043,0.003450000000,0.04233728874,0.01096577077,0.05074772926
0.3981071706,0.003450000000,0.04145264838,0.01085773313,0.04860296929
0.4216965034,0.003450000000,0.04055147340,0.01075075991,0.04656341447
0.4466835922,0.003450000000,0.03963711088,0.01064484061,0.04462359881
0.4731512590,0.003450000000,0.03871292871,0.01053996486,0.04277835017
0.5011872336,0.003450000000,0.03778225670,0.01043612237,0.04102277418
0.5308844442,0.003450000000,0.03684833342,0.01033330297,0.03935223906
0.5623413252,0.003450000000,0.03591426017,0.01023149657,0.03776236119
0.5956621435,0.003450000000,0.03498296303,0.01013069319,0.03624899159
0.6309573445,0.003450000000,0.03405716346,0.01003088296,0.03480820305
0.6683439176,0.003450000000,0.03313935716,0.009932056079,0.03343627808
0.7079457844,0.003450000000,0.03223180093,0.009834202868,0.03212969738
0.7498942093,0.003450000000,0.03133650667,0.009737313732,0.03088512909
0.7943282347,0.003450000000,0.03045524147,0.009641379174,0.02969941856
0.8413951416,0.003450000000,0.02958953301,0.009546389788,0.02856957869
0.8912509381,0.003450000000,0.02874067891,0.009452336262,0.02749278081
0.9440608763,0.003450000000,0.02790975923,0.009359209376,0.02646634606
1.000000000,0.003450000000,0.02709765121,0.009267000000,0.02548773726
1.059253725,0.003450000000,0.02630504521,0.009175699095,0.02455455121
1.122018454,0.003450000000,0.02553246154,0.009085297711,0.02366451142
1.188502227,0.003450000000,0.02478026726,0.008995786985,0.02281546125
1.258925412,0.003450000000,0.02404869275,0.008907158141,0.02200535741
1.333521432,0.003450000000,0.02333784763,0.008819402492,0.02123226381
1.412537545,0.003450000000,0.02264773584,0.008732511435,0.02049434581
1.496235656,0.003450000000,0.02197826968,0.008646476451,0.01978986468
1.584893192,0.003450000000,0.02132928274,0.008561289107,0.01911717249
1.678804018,0.003450000000,0.02070054168,0.008476941050,0.01847470716
1.778279410,0.003450000000,0.02009175695,0.008393424013,0.01786098785
1.883649089,0.003450000000,0.01950259227,0.008310729807,0.01727461063
1.995262315,0.003450000000,0.01893267316,0.008228850326,0.01671424428
2.113489040,0.003450000000,0.01838159445,0.008147777543,0.01617862644
2.238721139,0.003450000000,0.01784892683,0.008067503510,0.01566655991
2.371373706,0.003450000000,0.01733422264,0.007988020358,0.01517690911
2.511886432,0.003450000000,0.01683702085,0.007909320295,0.01470859687
2.660725060,0.003450000000,0.01635685134,0.007831395605,0.01426060123
2.818382931,0.003450000000,0.01589323860,0.007754238650,0.01383195253
2.985382619,0.003450000000,0.01544570491,0.007677841865,0.01342173063
3.162277660,0.003450000000,0.01501377294,0.007602197761,0.01302906226
3.349654392,0.003450000000,0.01459696806,0.007527298923,0.01265311853
3.548133892,0.003450000000,0.01419482016,0.007453138008,0.01229311256
3.758374043,0.003450000000,0.01380686524,0.007379707745,0.01194829729
3.981071706,0.003450000000,0.01343264665,0.007307000937,0.01161796334
4.216965034,0.003450000000,0.01307171615,0.007235010455,0.01130143704
4.466835922,0.003450000000,0.01272363469,0.007163729242,0.01099807851
4.731512590,0.003450000000,0.01238797307,0.007093150310,0.01070727994
5.011872336,0.003450000000,0.01206431242,0.007023266740,0.01042846383
5.308844442,0.003450000000,0.01175224454,0.006954071682,0.01016108147
5.623413252,0.003450000000,0.01145137218,0.006885558351,0.009904611361
5.956621435,0.003450000000,0.01116130913,0.006817720031,0.009658557857
6.309573445,0.003450000000,0.01088168033,0.006750550073,0.009422449762
6.683439176,0.003450000000,0.01061212186,0.006684041890,0.009195839081
7.079457844,0.003450000000,0.01035228085,0.006618188963,0.008978299804
7.498942093,0.003450000000,0.01010181543,0.006552984837,0.008769426767
7.943282347,0.003450000000,0.009860394554,0.006488423118,0.008568834566
8.413951416,0.003450000000,0.009627697848,0.006424497479,0.008376156539
8.912509381,0.003450000000,0.009403415399,0.006361201651,0.008191043794
9.440608763,0.003450000000,0.009187247548,0.006298529431,0.008013164294
10.00000000,0.003450000000,0.008978904657,0.006236474674,0.007842201988
10.59253725,0.003450000000,0.008778106870,0.006175031296,0.007677855996
11.22018454,0.003450000000,0.008584583858,0.006114193275,0.007519839822
11.88502227,0.003450000000,0.008398074567,0.006053954645,0.007367880627
12.58925412,0.003450000000,0.008218326956,0.005994309503,0.007221718529
13.33521432,0.003450000000,0.008045097738,0.005935252000,0.007081105943
14.12537545,0.003450000000,0.007878152116,0.005876776347,0.006945806959
14.96235656,0.003450000000,0.007717263529,0.005818876811,0.006815596747
15.84893192,0.003450000000,0.007562213390,0.005761547717,0.006690261002
16.78804018,0.003450000000,0.007412790837,0.005704783443,0.006569595409
17.78279410,0.003450000000,0.007268792480,0.005648578427,0.006453405143
18.83649089,0.003450000000,0.007130022157,0.005592927157,0.006341504394
19.95262315,0.003450000000,0.006996290697,0.005537824177,0.006233715913
21.13489040,0.003450000000,0.006867415682,0.005483264087,0.006129870590
22.38721139,0.003450000000,0.006743221222,0.005429241537,0.006029807043
23.71373706,0.003450000000,0.006623537730,0.005375751231,0.005933371241
25.11886432,0.003450000000,0.006508201708,0.005322787925,0.005840416136
26.60725060,0.003450000000,0.006397055532,0.005270346428,0.005750801319
28.18382931,0.003450000000,0.006289947253,0.005218421599,0.005664392698
29.85382619,0.003450000000,0.006186730396,0.005167008346,0.005581062182
31.62277660,0.003450000000,0.006087263769,0.005116101630,0.005500687393
33.49654392,0.003450000000,0.005991411274,0.005065696460,0.005423151384
35.48133892,0.003450000000,0.005899041730,0.005015787895,0.005348342378
37.58374043,0.003450000000,0.005810028700,0.004966371043,0.005276153515
39.81071706,0.003450000000,0.005724250318,0.004917441058,0.005206482620
42.16965034,0.003450000000,0.005641589127,0.004868993144,0.005139231969
44.66835922,0.003450000000,0.005561931925,0.004821022552,0.005074308085
47.31512590,0.003450000000,0.005485169610,0.004773524578,0.005011621530
50.11872336,0.003450000000,0.005411197030,0.004726494567,0.004951086712
53.08844442,0.003450000000,0.005339912850,0.004679927908,0.004892621707
56.23413252,0.003450000000,0.005271219404,0.004633820036,0.004836148081
59.56621435,0.003450000000,0.005205022572,0.004588166430,0.004781590730
63.09573445,0.003450000000,0.005141231646,0.004542962616,0.004728877719
66.83439176,0.003450000000,0.005079759210,0.004498204162,0.004677940138
70.79457844,0.003450000000,0.005020521022,0.004453886679,0.004628711960
74.98942093,0.003450000000,0.004963435894,0.004410005824,0.004581129908
79.43282347,0.003450000000,0.004908425590,0.004366557295,0.004535133323
84.13951416,0.003450000000,0.004855414712,0.004323536832,0.004490664052
89.12509381,0.003450000000,0.004804330599,0.004280940217,0.004447666327
94.40608763,0.003450000000,0.004755103232,0.004238763276,0.004406086657
100.0000000,0.003450000000,0.004707665131,0.004197001873,0.004365873726
105.9253725,0.003450000000,0.004661951272,0.004155651914,0.004326978294
112.2018454,0.003450000000,0.004617898988,0.004114709346,0.004289353104
118.8502227,0.003450000000,0.004575447892,0.004074170155,0.004252952792
125.8925412,0.003450000000,0.004534539789,0.004034030366,0.004217733801
133.3521432,0.003450000000,0.004495118601,0.003994286045,0.004183654305
141.2537545,0.003450000000,0.004457130284,0.003954933296,0.004150674127
149.6235656,0.003450000000,0.004420522760,0.003915968260,0.004118754671
158.4893192,0.003450000000,0.004385245842,0.003877387117,0.004087858849
167.8804018,0.003450000000,0.004351251170,0.003839186087,0.004057951016
177.8279410,0.003450000000,0.004318492136,0.003801361422,0.004028996910
188.3649089,0.003450000000,0.004286923831,0.003763909417,0.004000963587
199.5262315,0.003450000000,0.004256502974,0.003726826398,0.003973819368
211.3489040,0.003450000000,0.004227187860,0.003690108731,0.003947533785
223.8721139,0.003450000000,0.004198938297,0.003653752815,0.003922077524
237.1373706,0.003450000000,0.004171715556,0.003617755088,0.003897422383
251.1886432,0.003450000000,0.004145482315,0.003582112020,0.003873541221
266.0725060,0.003450000000,0.004120202607,0.003546820117,0.003850407912
281.8382931,0.003450000000,0.004095841774,0.003511875918,0.003827997307
298.5382619,0.003450000000,0.004072366417,0.003477276000,0.003806285188
316.2277660,0.003450000000,0.004049744350,0.003443016968,0.003785248233
334.9654392,0.003450000000,0.004027944559,0.003409095465,0.003764863978
354.8133892,0.003450000000,0.004006937155,0.003375508166,0.003745110780
375.8374043,0.003450000000,0.003986693336,0.003342251778,0.003725967788
398.1071706,0.003450000000,0.003967185348,0.003309323041,0.003707414903
421.6965034,0.003450000000,0.003948386444,0.003276718726,0.003689432756
446.6835922,0.003450000000,0.003930270851,0.003244435637,0.003672002671
473.1512590,0.003450000000,0.003912813732,0.003212470609,0.003655106645
501.1872336,0.003450000000,0.003895991151,0.003180820510,0.003638727312
530.8844442,0.003450000000,0.003879780046,0.003149482235,0.003622847927
562.3413252,0.003450000000,0.003864158189,0.003118452713,0.003607452332
595.6621435,0.003450000000,0.003849104162,0.003087728903,0.003592524943
630.9573445,0.003450000000,0.003834597326,0.003057307791,0.003578050718
668.3439176,0.003450000000,0.003820617792,0.003027186396,0.003564015141
707.9457844,0.003450000000,0.003807146392,0.002997361765,0.003550404203
749.8942093,0.003450000000,0.003794164657,0.002967830974,0.003537204377
794.3282347,0.003450000000,0.003781654789,0.002938591128,0.003524402603
841.3951416,0.003450000000,0.003769599635,0.002909639360,0.003511986272
891.2509381,0.003450000000,0.003757982668,0.002880972833,0.003499943204
944.0608763,0.003450000000,0.003746787960,0.002852588736,0.003488261634
1000.000000,0.003450000000,0.003736000163,0.002824484287,0.003476930199
